FUNCIÓN_DENOMINACIÓN,TIPO_URG,CENTRO_GESTOR,MES_1,MES_2,MES_3,MES_4,MES_5,MES_6,MES_7,MES_8,MES_9,MES_10,MES_11,MES_12
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),FIDEICOMISO MUSEO DE ARTE POPULAR MEXICANO,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),FIDEICOMISO MUSEO DEL ESTANQUILLO,0,0,0,0,0,"12,000","18,000","18,000",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),FONDO DE DESARROLLO ECONÓMICO DEL DISTRITO FEDERAL,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),FONDO MIXTO DE PROMOCIÓN TURÍSTICA DEL DISTRITO FEDERAL,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),FONDO PARA EL DESARROLLO SOCIAL DE LA CIUDAD DE MÉXICO,0,0,205,205,205,"16,660","16,660","16,660",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),HEROICO CUERPO DE BOMBEROS DEL DISTRITO FEDERAL,"35,710,540","76,931,264","161,167,972","236,185,315","301,040,245","355,771,660","410,503,075","410,503,075",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),INSTITUTO DE CAPACITACIÓN PARA EL TRABAJO DE LA CIUDAD DE MÉXICO,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),INSTITUTO DE EDUCACIÓN MEDIA SUPERIOR DEL DISTRITO FEDERAL,0,0,0,0,"356,236","678,194","999,108","999,108",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),INSTITUTO DE LA JUVENTUD DEL DISTRITO FEDERAL,0,0,0,0,0,0,"48,046","48,046",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),INSTITUTO DE LAS MUJERES DEL DISTRITO FEDERAL,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),INSTITUTO DE VERIFICACIÓN ADMINISTRATIVA DEL DISTRITO FEDERAL,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),INSTITUTO DE VIVIENDA DEL DISTRITO FEDERAL,0,0,0,0,0,0,"4,640","4,640",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),INSTITUTO DEL DEPORTE DEL DISTRITO FEDERAL,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),INSTITUTO LOCAL DE LA INFRAESTRUCTURA FÍSICA EDUCATIVA DEL DISTRITO FEDERAL,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),INSTITUTO PARA LA ATENCIÓN Y PREVENCIÓN DE LAS ADICCIONES DE LA CIUDAD DE MÉXICO,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),INSTITUTO PARA LA INTEGRACIÓN AL DESARROLLO DE LAS PERSONAS CON DISCAPACIDAD DEL DISTRITO FEDERAL,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),INSTITUTO PARA LA SEGURIDAD DE LAS CONSTRUCCIONES DEL DISTRITO FEDERAL,"668,626","1,470,670","6,940,104","8,377,427","14,297,972","15,240,333","21,173,690","21,173,690",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),METROBÚS,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),"PROCDMX, S.A. DE C.V.",0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),PROCURADURÍA AMBIENTAL Y DEL ORDENAMIENTO TERRITORIAL DEL DISTRITO FEDERAL,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),PROCURADURÍA SOCIAL DEL DISTRITO FEDERAL,0,0,"567,446","1,702,338","1,702,338","2,732,519","2,946,851","2,946,851",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),RED DE TRANSPORTE DE PASAJEROS DEL DISTRITO FEDERAL,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),SERVICIO DE TRANSPORTES ELÉCTRICOS DEL DISTRITO FEDERAL,0,0,0,"93,699","93,699","160,399","160,399","160,399",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),SERVICIOS DE SALUD PÚBLICA DEL DISTRITO FEDERAL,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),"SERVICIOS METROPOLITANOS, S.A. DE C.V.",0,0,44,44,44,44,44,44,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),SISTEMA DE TRANSPORTE COLECTIVO METRO,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA DEL DISTRITO FEDERAL,0,0,0,0,0,0,"1,393,609","1,393,609",0,0,0,0
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DELEGACIONES,DELEGACIÓN ÁLVARO OBREGÓN,"8,236","25,471","42,029","64,624","91,880","119,683","153,374","427,094",0,0,0,0
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DELEGACIONES,DELEGACIÓN AZCAPOTZALCO,"2,436,733","3,994,489","5,947,143","9,847,689","12,957,945","15,979,544","16,935,883","17,704,510",0,0,0,0
